"SE w", "SE h", "Threads", "Loops", "Benchs", "Avarage [S]", "Variance", 
3, 3, 1, 5, 50, 0.316998, 2.46099e-07, 
3, 3, 2, 5, 50, 0.171765, 3.31391e-08, 
3, 3, 4, 5, 50, 0.157416, 8.17501e-09, 
3, 3, 8, 5, 50, 0.160566, 6.39725e-06, 
3, 3, 16, 5, 50, 0.160298, 2.36556e-06, 
3, 3, 32, 5, 50, 0.15884, 8.36202e-07, 
7, 7, 1, 5, 50, 1.5076, 3.22651e-05, 
7, 7, 2, 5, 50, 0.815934, 9.68133e-09, 
7, 7, 4, 5, 50, 0.650048, 2.61187e-07, 
7, 7, 8, 5, 50, 0.66221, 3.85053e-05, 
7, 7, 16, 5, 50, 0.657238, 8.04243e-06, 
7, 7, 32, 5, 50, 0.655744, 6.33043e-06, 
11, 11, 1, 5, 50, 3.91596, 3.88132e-05, 
11, 11, 2, 5, 50, 2.11948, 9.88539e-08, 
11, 11, 4, 5, 50, 1.57234, 1.71851e-05, 
11, 11, 8, 5, 50, 1.59657, 9.33668e-05, 
11, 11, 16, 5, 50, 1.57956, 1.30239e-05, 
11, 11, 32, 5, 50, 1.57685, 3.43742e-05, 
19, 19, 1, 5, 50, 11.5211, 0.000638035, 
19, 19, 2, 5, 50, 6.23745, 0.00129965, 
19, 19, 4, 5, 50, 4.56737, 0.0800461, 
19, 19, 8, 5, 50, 4.5354, 0.0139718, 
19, 19, 16, 5, 50, 4.45524, 0.0105217, 
19, 19, 32, 5, 50, 4.48648, 0.0113811, 